# T650 raw capture: /dev/hidraw4 (receiver 046d:c52b), device index 1
# cols: t_ms dt_ms  raw_hex  | decoded
  3032.71    7.92  11 01 0f 00 02 66 05 ab 43 eb 00 10 11 00 00 00 00 00 00 01  | ts=  614 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1451 y=1003 yf=1361 z=  0 a= 16]
  3048.71   16.00  11 01 0f 00 02 70 05 9f 43 e8 00 14 11 00 00 00 00 00 00 01  | ts=  624 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1439 y=1000 yf=1364 z=  0 a= 20]
  3056.85    8.14  11 01 0f 00 02 7b 05 96 43 e7 00 14 11 00 00 00 00 00 00 01  | ts=  635 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1430 y= 999 yf=1365 z=  0 a= 20]
  3064.94    8.09  11 01 0f 00 02 86 05 8f 43 e7 00 14 11 00 00 00 00 00 00 01  | ts=  646 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1423 y= 999 yf=1365 z=  0 a= 20]
  3078.76   13.82  11 01 0f 00 02 91 05 8a 43 e8 00 14 11 00 00 00 00 00 00 01  | ts=  657 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1418 y=1000 yf=1364 z=  0 a= 20]
  3086.87    8.11  11 01 0f 00 02 9c 05 87 43 e9 00 14 11 00 00 00 00 00 00 01  | ts=  668 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1415 y=1001 yf=1363 z=  0 a= 20]
  3094.87    7.99  11 01 0f 00 02 a6 05 85 43 ea 00 14 11 00 00 00 00 00 00 01  | ts=  678 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1413 y=1002 yf=1362 z=  0 a= 20]
  3110.77   15.90  11 01 0f 00 02 b1 05 83 43 ed 00 14 11 00 00 00 00 00 00 01  | ts=  689 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1411 y=1005 yf=1359 z=  0 a= 20]
  3118.86    8.09  11 01 0f 00 02 bc 05 82 43 f2 00 19 11 00 00 00 00 00 00 01  | ts=  700 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1410 y=1010 yf=1354 z=  0 a= 25]
  3126.84    7.98  11 01 0f 00 02 c6 05 84 43 fc 00 19 11 00 00 00 00 00 00 01  | ts=  710 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1412 y=1020 yf=1344 z=  0 a= 25]
  3143.22   16.37  11 01 0f 00 02 d1 05 8b 44 0a 00 10 11 00 00 00 00 00 00 01  | ts=  721 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1419 y=1034 yf=1330 z=  0 a= 16]
  3150.85    7.63  11 01 0f 00 02 dc 05 96 44 1b 00 09 11 00 00 00 00 00 00 01  | ts=  732 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1430 y=1051 yf=1313 z=  0 a=  9]
  3159.20    8.34  11 01 0f 00 02 e6 05 9c 44 24 00 09 11 00 00 00 00 00 00 01  | ts=  742 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1436 y=1060 yf=1304 z=  0 a=  9]
  3174.74   15.54  11 01 0f 00 02 f1 00 00 00 00 00 00 01 00 00 00 00 00 00 00  | ts=  753 eof=1 sp=0 btn=0 n=0 
  3306.82  132.08  11 01 0f 00 03 7c 06 69 42 b0 00 0c 11 00 00 00 00 00 00 01  | ts=  892 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1641 y= 688 yf=1676 z=  0 a= 12]
  3314.78    7.96  11 01 0f 00 03 87 06 64 42 b8 00 10 11 00 00 00 00 00 00 01  | ts=  903 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1636 y= 696 yf=1668 z=  0 a= 16]
  3330.78   16.00  11 01 0f 00 03 92 06 64 42 b8 00 10 11 00 00 00 00 00 00 01  | ts=  914 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1636 y= 696 yf=1668 z=  0 a= 16]
  3338.77    7.99  11 01 0f 00 03 9d 06 64 42 b8 00 10 11 00 00 00 00 00 00 01  | ts=  925 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1636 y= 696 yf=1668 z=  0 a= 16]
  3354.80   16.03  11 01 0f 00 03 a7 06 64 42 b8 00 10 11 00 00 00 00 00 00 01  | ts=  935 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1636 y= 696 yf=1668 z=  0 a= 16]
  3362.81    8.01  11 01 0f 00 03 b2 06 64 42 b7 00 0c 11 00 00 00 00 00 00 01  | ts=  946 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1636 y= 695 yf=1669 z=  0 a= 12]
  3370.70    7.89  11 01 0f 00 03 bd 06 63 42 b6 00 0c 11 00 00 00 00 00 00 01  | ts=  957 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1635 y= 694 yf=1670 z=  0 a= 12]
  3384.66   13.96  11 01 0f 00 03 c7 06 61 42 b5 00 0c 11 00 00 00 00 00 00 01  | ts=  967 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1633 y= 693 yf=1671 z=  0 a= 12]
  3392.78    8.12  11 01 0f 00 03 d2 06 5f 42 b5 00 0c 11 00 00 00 00 00 00 01  | ts=  978 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1631 y= 693 yf=1671 z=  0 a= 12]
  3400.75    7.98  11 01 0f 00 03 dd 06 5d 42 b5 00 0c 11 00 00 00 00 00 00 01  | ts=  989 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1629 y= 693 yf=1671 z=  0 a= 12]
  3416.87   16.12  11 01 0f 00 03 e7 06 5b 42 b5 00 0c 11 00 00 00 00 00 00 01  | ts=  999 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1627 y= 693 yf=1671 z=  0 a= 12]
  3425.21    8.33  11 01 0f 00 03 f2 06 59 42 b5 00 0c 11 00 00 00 00 00 00 01  | ts= 1010 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1625 y= 693 yf=1671 z=  0 a= 12]
  3432.78    7.57  11 01 0f 00 03 fd 06 57 42 b6 00 0f 11 00 00 00 00 00 00 01  | ts= 1021 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1623 y= 694 yf=1670 z=  0 a= 15]
  3448.72   15.94  11 01 0f 00 04 08 06 55 42 b8 00 0c 11 00 00 00 00 00 00 01  | ts= 1032 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1621 y= 696 yf=1668 z=  0 a= 12]
  3456.83    8.11  11 01 0f 00 04 13 06 52 42 bb 00 10 11 00 00 00 00 00 00 01  | ts= 1043 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1618 y= 699 yf=1665 z=  0 a= 16]
  3464.78    7.95  11 01 0f 00 04 1d 06 4f 42 c1 00 0c 11 00 00 00 00 00 00 01  | ts= 1053 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1615 y= 705 yf=1659 z=  0 a= 12]
  3480.79   16.01  11 01 0f 00 04 28 06 4b 42 cc 00 06 11 00 00 00 00 00 00 01  | ts= 1064 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1611 y= 716 yf=1648 z=  0 a=  6]
  3486.78    5.99  11 01 0f 00 04 33 06 48 42 df 00 0c 11 00 00 00 00 00 00 01  | ts= 1075 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1608 y= 735 yf=1629 z=  0 a= 12]
  3494.79    8.01  11 01 0f 00 04 3d 06 47 42 f7 00 10 11 00 00 00 00 00 00 01  | ts= 1085 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1607 y= 759 yf=1605 z=  0 a= 16]
  3510.85   16.07  11 01 0f 00 04 48 06 49 43 10 00 10 11 00 00 00 00 00 00 01  | ts= 1096 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1609 y= 784 yf=1580 z=  0 a= 16]
  3518.72    7.87  11 01 0f 00 04 53 06 4c 43 29 00 0c 11 00 00 00 00 00 00 01  | ts= 1107 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1612 y= 809 yf=1555 z=  0 a= 12]
  3526.75    8.03  11 01 0f 00 04 5e 06 4f 43 4a 00 0c 11 00 00 00 00 00 00 01  | ts= 1118 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1615 y= 842 yf=1522 z=  0 a= 12]
  3542.75   16.00  11 01 0f 00 04 68 06 54 43 64 00 10 11 00 00 00 00 00 00 01  | ts= 1128 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1620 y= 868 yf=1496 z=  0 a= 16]
  3551.24    8.49  11 01 0f 00 04 73 06 57 43 74 00 10 11 00 00 00 00 00 00 01  | ts= 1139 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1623 y= 884 yf=1480 z=  0 a= 16]
  3558.78    7.54  11 01 0f 00 04 7e 06 5a 43 80 00 10 11 00 00 00 00 00 00 01  | ts= 1150 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1626 y= 896 yf=1468 z=  0 a= 16]
  3575.21   16.43  11 01 0f 00 04 88 06 5d 43 8a 00 14 11 00 00 00 00 00 00 01  | ts= 1160 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1629 y= 906 yf=1458 z=  0 a= 20]
  3583.22    8.00  11 01 0f 00 04 93 06 60 43 93 00 10 11 00 00 00 00 00 00 01  | ts= 1171 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1632 y= 915 yf=1449 z=  0 a= 16]
  3590.80    7.58  11 01 0f 00 04 9e 06 63 43 9a 00 10 11 00 00 00 00 00 00 01  | ts= 1182 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1635 y= 922 yf=1442 z=  0 a= 16]
  3604.77   13.97  11 01 0f 00 04 a8 06 65 43 a0 00 10 11 00 00 00 00 00 00 01  | ts= 1192 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1637 y= 928 yf=1436 z=  0 a= 16]
  3612.76    7.99  11 01 0f 00 04 b3 06 67 43 a6 00 10 11 00 00 00 00 00 00 01  | ts= 1203 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1639 y= 934 yf=1430 z=  0 a= 16]
  3620.78    8.02  11 01 0f 00 04 be 06 6a 43 ac 00 0c 11 00 00 00 00 00 00 01  | ts= 1214 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1642 y= 940 yf=1424 z=  0 a= 12]
  3636.87   16.09  11 01 0f 00 04 c8 06 6d 43 b2 00 0c 11 00 00 00 00 00 00 01  | ts= 1224 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1645 y= 946 yf=1418 z=  0 a= 12]
  3644.71    7.84  11 01 0f 00 04 d3 06 70 43 b7 00 0c 11 00 00 00 00 00 00 01  | ts= 1235 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1648 y= 951 yf=1413 z=  0 a= 12]
  3652.70    8.00  11 01 0f 00 04 de 06 73 43 bb 00 0c 11 00 00 00 00 00 00 01  | ts= 1246 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1651 y= 955 yf=1409 z=  0 a= 12]
  3668.85   16.15  11 01 0f 00 04 e8 06 76 43 bf 00 0c 11 00 00 00 00 00 00 01  | ts= 1256 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1654 y= 959 yf=1405 z=  0 a= 12]
  3676.76    7.91  11 01 0f 00 04 f3 06 79 43 c2 00 0c 11 00 00 00 00 00 00 01  | ts= 1267 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1657 y= 962 yf=1402 z=  0 a= 12]
  3684.80    8.04  11 01 0f 00 04 fe 06 7d 43 c6 00 0c 11 00 00 00 00 00 00 01  | ts= 1278 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1661 y= 966 yf=1398 z=  0 a= 12]
  3699.08   14.28  11 01 0f 00 05 09 06 82 43 ca 00 0c 11 00 00 00 00 00 00 01  | ts= 1289 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1666 y= 970 yf=1394 z=  0 a= 12]
  3706.87    7.79  11 01 0f 00 05 14 06 87 43 cd 00 0c 11 00 00 00 00 00 00 01  | ts= 1300 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1671 y= 973 yf=1391 z=  0 a= 12]
  3714.84    7.97  11 01 0f 00 05 1e 06 8d 43 d1 00 06 11 00 00 00 00 00 00 01  | ts= 1310 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1677 y= 977 yf=1387 z=  0 a=  6]
  3730.80   15.96  11 01 0f 00 05 29 06 92 43 d4 00 06 11 00 00 00 00 00 00 01  | ts= 1321 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1682 y= 980 yf=1384 z=  0 a=  6]
  3738.83    8.03  11 01 0f 00 05 34 06 96 43 d6 00 06 11 00 00 00 00 00 00 01  | ts= 1332 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1686 y= 982 yf=1382 z=  0 a=  6]
  3746.77    7.94  11 01 0f 00 05 3e 06 99 43 d7 00 09 11 00 00 00 00 00 00 01  | ts= 1342 eof=1 sp=0 btn=0 n=1 [id=1 st=1 ty=0 x=1689 y= 983 yf=1381 z=  0 a=  9]
